algorithm,array_type,array_size,time_us,char_cmp
MsdRadixSort,random,2800,4418.3,7402
MsdRadixSortHybrid,random,2800,728.7,15437
StdMergeSort,reverse,2800,5894.3,24291
StdQuickSort,reverse,2800,84915.1,3976896
StringMergeSort,reverse,2800,7348.3,89597
StringQuickSort,reverse,2800,1609.5,123384
MsdRadixSort,reverse,2800,3910.3,7519
MsdRadixSortHybrid,reverse,2800,942.3,39269
StdMergeSort,nearly_sorted,2800,4921.9,39612
StdQuickSort,nearly_sorted,2800,2292.6,113968
StringMergeSort,nearly_sorted,2800,6960.3,97170
StringQuickSort,nearly_sorted,2800,1475,110096
MsdRadixSort,nearly_sorted,2800,4317.5,7523
MsdRadixSortHybrid,nearly_sorted,2800,712.8,18513
StdMergeSort,random,2900,5573.1,43447
StdQuickSort,random,2900,1310.5,51302
StringMergeSort,random,2900,8046.7,81973
StringQuickSort,random,2900,705.6,32787
MsdRadixSort,random,2900,3352.5,7705
MsdRadixSortHybrid,random,2900,622.3,16150
StdMergeSort,reverse,2900,6035,25384
StdQuickSort,reverse,2900,93696.7,4263715
StringMergeSort,reverse,2900,6920.5,93157
StringQuickSort,reverse,2900,1703.4,131046
MsdRadixSort,reverse,2900,4230.2,7781
MsdRadixSortHybrid,reverse,2900,915.9,40604
StdMergeSort,nearly_sorted,2900,5478.7,41427
StdQuickSort,nearly_sorted,2900,2725.1,126515
StringMergeSort,nearly_sorted,2900,7274.8,101025
StringQuickSort,nearly_sorted,2900,1621.1,92329
MsdRadixSort,nearly_sorted,2900,4886.1,7808
MsdRadixSortHybrid,nearly_sorted,2900,1202.8,19240
StdMergeSort,random,3000,5473.6,45229
StdQuickSort,random,3000,2019.6,54621
StringMergeSort,random,3000,8803.6,85265
StringQuickSort,random,3000,656.2,32849
MsdRadixSort,random,3000,4702.7,8005
MsdRadixSortHybrid,random,3000,762.6,16873
StdMergeSort,reverse,3000,5266.8,26349
StdQuickSort,reverse,3000,97789.7,4560881
StringMergeSort,reverse,3000,7239.6,96926
StringQuickSort,reverse,3000,1929.2,141173
MsdRadixSort,reverse,3000,4650.5,8048
MsdRadixSortHybrid,reverse,3000,1060.6,42106
StdMergeSort,nearly_sorted,3000,5393.1,42658
StdQuickSort,nearly_sorted,3000,2670.7,128455
StringMergeSort,nearly_sorted,3000,7907.1,104873
StringQuickSort,nearly_sorted,3000,1946,117320
MsdRadixSort,nearly_sorted,3000,4114,8091
MsdRadixSortHybrid,nearly_sorted,3000,972.5,19876
